cigt01	phv00022814.v1.p1	Cigarette smoking status at visit 1
cigtyr01	phv00022815.v1.p1	Cigarette years of smoking (average number of cigarettes per day, times the number of years smoked) at visit 1
cursmk01	phv00022816.v1.p1	Current cigarette smoker at visit 1
forsmk01	phv00022817.v1.p1	Former cigarette smoker at visit 1
evrsmk01	phv00022818.v1.p1	Ever smoked cigarettes at visit 1
hom29	phv00080505.v1.p1	Age 1st regularly smoked cigarettes (visit 1)
hom35	phv00080506.v1.p1	Overall number of cigarettes per day (visit 1)
hom31	phv00080691.v1.p1	Age stopped smoking cigarettes (visit 1)
hom32	phv00080692.v1.p1	Number of cigarettes per day (visit 1)
hhxb44	phv00080701.v1.p1	Have you ever smoked cigarettes (visit 2)
hhxb45	phv00080702.v1.p1	Do you smoke cigarettes now (visit 2)
hhxb46	phv00080703.v1.p1	When smoked last cigarette (visit 2)
hhxb47	phv00080704.v1.p1	Prior quitting, number of cigarettes per day (visit 2)
hhxb48	phv00080705.v1.p1	Number of cigarettes smoked per day now (visit 2)
phxa25	phv00080712.v1.p1	Ever smoke cigarettes (visit 3)
phxa27	phv00080713.v1.p1	Do you now smoke cigarettes (visit 3)
phxa28	phv00080714.v1.p1	When did you smoke last cigarette (visit 3)
phxa30	phv00080715.v1.p1	Cigarettes smoked per day now (visit 3)
phxa29	phv00080716.v1.p1	Prior to quitting, number of cigarettes per day (visit 3)
phxb7	phv00080722.v1.p1	Ever smoked cigarettes (visit 4)
phxb8	phv00080723.v1.p1	Do you now smoke cigarettes (visit 4)
phxb9	phv00080724.v1.p1	When did you smoke last cigarette (visit 4)
phxb10	phv00080725.v1.p1	Prior to quitting, number of cigarettes per day (visit 4)
phxb11	phv00080726.v1.p1	Cigarettes smoked per day now (visit 4)
ESP_current_smoker_baseline	phv00163971.v2.p1	Current smoking status at baseline (0/1)
ESP_former_smoker_baseline	phv00163972.v2.p1	Former smoking status at baseline (0/1)
current_smoker_baseline	phv00190334.v1.p1	Current smoking status at first participant visit (0/1)
former_smoker_baseline	phv00190335.v1.p1	Former smoking status at first participant visit (0/1)
CORA22B	phv00203798.v3.p1	History OF SMOKING. Q22B [Coroner / Medical Examiner Form, COR]
HRAA21D	phv00203911.v3.p1	Smoking: Current, Past, Smoker NOS, Never, Unknown Q21D [Hospital Abstraction Form]
IFIA19B	phv00204312.v3.p1	A. History. HAVE A HISTORY OF CIGARETTE SMOKING Q19B [Information Interview Form]
CURSMK21	phv00204624.v1.p1	Current smoker flag [Cohort, Exam 2]
FORSMK21	phv00204625.v1.p1	Former smoker flag [Cohort, Exam 2]
EVRSMK21	phv00204626.v1.p1	Ever smoker flag [Cohort, Exam 2]
CIGT21	phv00204655.v1.p1	Visit 2, cigarette smoking status [Cohort, Exam 2]
CIGT01	phv00204713.v1.p1	Cigarette smoking status [Cohort, Exam 1]
CIGTYR01	phv00204714.v1.p1	Cigarette years of smoking [Cohort, Exam 1]
PIPE01	phv00204715.v1.p1	Pipe smoking status [Cohort, Exam 1]
PIPEYR01	phv00204716.v1.p1	Ounce years of smoking [Cohort, Exam 1]
CIGR01	phv00204717.v1.p1	Cigar/cigarillo smoking status [Cohort, Exam 1]
CIGRYR01	phv00204718.v1.p1	Cigar/cigarillo years of smoking [Cohort, Exam 1]
CURSMK01	phv00204756.v1.p1	Current cigarette smoker [Cohort, Exam 1]
FORSMK01	phv00204757.v1.p1	Former cigarette smoker [Cohort, Exam 1]
EVRSMK01	phv00204758.v1.p1	Ever smoked cigarettes [Cohort, Exam 1]
CIGT31	phv00204859.v1.p1	Version 3, cigarette smoking status [Cohort, Exam 3]
CURSMK31	phv00204864.v1.p1	Current smoker [Cohort, Exam 3]
FORSMK31	phv00204865.v1.p1	Former smoker [Cohort, Exam 3]
EVRSMK31	phv00204866.v1.p1	Ever smoker [Cohort, Exam 3]
CIGT41	phv00204971.v1.p1	Cigarette smoking status [Cohort, Exam 4]
CURSMK41	phv00204972.v1.p1	Current cigarette smoker [Cohort, Exam 4]
FORSMK41	phv00204973.v1.p1	Former cigarette smoker [Cohort, Exam 4]
EVRSMK41	phv00204974.v1.p1	Ever smoked cigarettes [Cohort, Exam 4]
HEM_SMOK	phv00206661.v1.p1	Hemostasis smoking risk set [Hemostasis Lab, exam 3]
SMOK	phv00206663.v1.p1	Smoking change status [Hemostasis Lab, exam 3]
HFAA9G	phv00206780.v3.p1	Q9G - Gen his: Ex-smoker
HFAA9H	phv00206781.v3.p1	History of smoking?
HFAA58B	phv00207046.v3.p1	HFA58b. Interventions:Tobacco cessation
HHXB44	phv00207119.v1.p1	[Smoking]. Have you ever smoked cigarettes? [Code No if less than 400 cigarettes in a lifetime]. Q44 [Health/Medical History, exam 2]
HHXB45	phv00207120.v1.p1	[Smoking]. Do you now smoke cigarettes? Q45 [Health/Medical History, exam 2]
HHXB46	phv00207121.v1.p1	[Smoking]. When did you smoke your last cigarette? Q46 [Health/Medical History, exam 2]
HHXB47	phv00207122.v1.p1	[Smoking]. Prior to quitting, how many cigarettes did you usually smoke per day? [Code 00 if less than one per day]. Q47 [Health/Medical History, exam 2]
HHXB48	phv00207123.v1.p1	[Smoking]. How many cigarettes do you smoke per day now? [Code 00 if less than one per day]. Q48 [Health/Medical History, exam 2]
HHXB49	phv00207124.v1.p1	[Smoking]. Do/did you inhale the cigarette smoke? Q49 [Health/Medical History, exam 2]
HHXB50	phv00207125.v1.p1	[Smoking]. Do you now smoke a pipe? Q50 [Health/Medical History, exam 2]
HHXB51	phv00207126.v1.p1	[Smoking]. How much pipe tobacco are you smoking now? [Record oz per week: a standard pouch of tobacco contains 1 1/2 oz. Code 00 if less than one oz. per week]. Q51 [Health/Medical History, exam 2]
HHXB52	phv00207127.v1.p1	[Smoking]. Do you inhale the pipe smoke? Q52 [Health/Medical History, exam 2]
HHXB53	phv00207128.v1.p1	[Smoking]. Do you now smoke cigars or cigarillos? Q53 [Health/Medical History, exam 2]
HHXB54	phv00207129.v1.p1	[Smoking]. How many (cigars/cigarillos) do you smoke per week now? [Code 00 if less than one per week]. Q54 [Health/Medical History, exam 2]
HHXB55	phv00207130.v1.p1	[Smoking]. Do you inhale the (cigar/cigarillo) smoke? Q55 [Health/Medical History, exam 2]
