A01SM100	phv00112434.v2.p2	LIFETIME CIGARETTE COMSUMPTION > 99
A01SMNOW	phv00112435.v2.p2	CURRENT SMOKER?
A01SMNUM	phv00112436.v2.p2	# CIGARETTES SMOKED PER DAY
A01TQUIT	phv00112437.v2.p2	PT TRIED TO STOP SMOKING W/I PAST 2 YRS
A01WQUIT	phv00112438.v2.p2	IF EX-SMOKER, WHEN QUIT
A02SMOKE	phv00112463.v2.p2	SMOKES,DOESN'T REMEMBER, DOESN'T SMOKE
A02DTSMK	phv00112465.v2.p2	DATE SUBJECT LAST SMOKED (SAS)
A02TMSMK	phv00112466.v2.p2	A02MTIME SUBJECT LAST SMOKED (SAS)
A06MFF0100	phv00112775.v2.p2	FISH - FRESH AND SMOKED
A06MFL0100	phv00112776.v2.p2	LEAN FISH - FRESH AND SMOKED
A09SMKNW	phv00113168.v2.p2	STILL SMOKES CIGARETTES REGULARLY? Q 2.01
A09YRSQT	phv00113169.v2.p2	EX-SMOKER: HOW LONG AGO QUIT SMOKING? Q 2.01
A09SMKAG	phv00113170.v2.p2	HOW OLD WHEN STARTED SMOKING? Q 2.02
A09SMKYR	phv00113171.v2.p2	HOW MANY YRS SMOKED CIGS REG.? Q 2.03
A09STS3M	phv00113172.v2.p2	STARTED SMOKING, PAST 3 MOS.? Q 2.04
A09SLS3M	phv00113173.v2.p2	NEW SMOKER: STILL SMOKES? Q 2.04A
A09CGTDY	phv00113174.v2.p2	CIGARETTES, # SMOKED/DAY. Q 2.05
A09INHAL	phv00113200.v2.p2	HOW OFTEN SMOKE INHALED? Q 2.08
A09TRYQT	phv00113201.v2.p2	TRIED TO STOP SMOKING, PAST 2 YRS? Q 2.09
A09SMK5Y	phv00113202.v2.p2	EXPECTS TO SMOKE IN 5 YRS? Q 2.10
A09CIGAR	phv00113203.v2.p2	STILL SMOKES CIGARS? Q 3.01
A09CGRWK	phv00113204.v2.p2	CIGARS, # SMOKED/WEEK. Q 3.02
A09PIPE	phv00113205.v2.p2	STILL SMOKES A PIPE? Q 4.01
A09PIPWK	phv00113206.v2.p2	PIPEFULS, # SMOKED/WEEK. Q 4.02
A09SNUFF	phv00113207.v2.p2	STILL USES SMOKELESS TOB.? Q 5.01
A09NIC	phv00113208.v2.p2	1985 FTC NICOTINE OF CURRENT BRAND
A10TOBAC	phv00113212.v2.p2	SUBJECT HAS USED A TOBACCO PRODUCT. Q 1
A10CIGS	phv00113213.v2.p2	SUBJECT HAS SMOKED CIGARETTES. Q 2
A10CIGAR	phv00113214.v2.p2	SUBJECT HAS SMOKED CIGARS. Q 3
A10PIPE	phv00113215.v2.p2	SUBJECT HAS SMOKED A PIPE. Q 4
A10SMKLS	phv00113216.v2.p2	SUBJECT HAS USED SMOKELESS TOBACCO. Q 5
A10GUM	phv00113217.v2.p2	SUBJECT HAS USED NICOTINE GUM. Q 6
A10EFSMK	phv00113218.v2.p2	SUBJECT'S BELIEF ABOUT EFFECT OF SMOKING. Q 7
A10SMKRS	phv00113219.v2.p2	SUBJECT SPENDS TIME AROUND SMOKERS. Q 8
A10EXHME	phv00113220.v2.p2	HRS/WK PT IS EXPOSED TO SMOKE BY OTHERS. Q 9
A10EXSML	phv00113221.v2.p2	HRS/WK PT IS EXPOSED TO SMOKE IN SM AREA. Q 10
A10EXLRG	phv00113222.v2.p2	HRS/WK PT IS EXPOSED TO SMOKE IN LG AREA. Q 11
A10SMOKE	phv00113224.v2.p2	CIGARETTE SMOKING STATUS
A11MCIGS	phv00113233.v2.p2	DOES PT'S MOTHER SMOKE CIGARETTES? Q 1
A11FCIGS	phv00113243.v2.p2	DOES PT'S FATHER SMOKE CIGARETTES? Q 2
A11BCIGS	phv00113256.v2.p2	# OF PT'S BROTHERS THAT SMOKE CIGARETTES. Q 3
A11SCIGS	phv00113257.v2.p2	# OF PT'S SISTERS  THAT SMOKE CIGARETTES. Q 3
A13CIGMI	phv00113479.v2.p2	PREDICTOR OF CIG. SMOKING BEHAVIOR
A17JOINT	phv00113564.v2.p2	# OF JOINTS SMOKED PER DAY (0-10). Q 3
B02SMOKE	phv00114100.v2.p2	SMOKES, DOESN'T REMEMBER, DOESN'T SMOKE. Q 1
B02DTSMK	phv00114102.v2.p2	DATE SUBJECT LAST SMOKED. Q 1
B02TMSMK	phv00114103.v2.p2	TIME SUBJECT LAST SMOKED. Q 1
B09BRAND	phv00114368.v2.p2	CIGARETTE BRAND NAME
B09SMKNW	phv00114541.v2.p2	STILL SMOKE? Q 2.01
B09SMKYR	phv00114544.v2.p2	HOW MANY YRS SMOKED REGULARLY? Q 2.03
B09STS3M	phv00114545.v2.p2	STARTED SMOKING, PAST 3 MOS.? Q 2.04
B09SLS3M	phv00114546.v2.p2	BEGINNER, STILL SMOKES? Q 2.04a
B09CGTDY	phv00114547.v2.p2	CIGARETTES, # SMOKED/DAY. Q 2.05
B09INHAL	phv00114548.v2.p2	HOW OFTEN SMOKE INHALED? Q 2.08
B09SMK5Y	phv00114550.v2.p2	DO YOU EXPECT TO SMOKE IN 5 YRS? Q 2.10
B09CIGAR	phv00114551.v2.p2	DO YOU STILL SMOKE CIGARS? Q 3.01
B09CGRWK	phv00114552.v2.p2	CIGARS, # SMOKED/WEEK. Q 3.02
B09PIPE	phv00114553.v2.p2	DO YOU STILL SMOKE A PIPE? Q 4.01
B09PIPWK	phv00114554.v2.p2	PIPEFULS, # SMOKED/WEEK. Q 4.02
B09SNUFF	phv00114555.v2.p2	DO YOU STILL USE SMOKELESS TOB.? Q 5.01
B10TOBAC	phv00114571.v2.p2	HAS USED A TOBACCO PRODUCT. Q 1
B10CIGS	phv00114572.v2.p2	HAS SMOKED CIGARETTES. Q 2
B10CIGAR	phv00114573.v2.p2	HAS SMOKED CIGARS. Q 3
B10PIPE	phv00114574.v2.p2	HAS SMOKED A PIPE
B10SMKLS	phv00114575.v2.p2	HAS USED SMOKELESS TOBACCO. Q 5
B10GUM	phv00114576.v2.p2	HAS USED NICOTINE GUM. Q 6
B10EFSMK	phv00114577.v2.p2	BELIEF ABOUT EFFECT OF SMOKING ON HEALTH. Q 7
B10SMKRS	phv00114578.v2.p2	SPENDS TIME AROUND SMOKERS. Q 8
B10SMOKE	phv00114582.v2.p2	SMOKING STATUS
B17JOINT	phv00114770.v2.p2	JOINTS SMOKED PER DAY (0-10)
B32SMOKE	phv00115027.v2.p2	ANYONE EVER SMOKE IN BED IN HOUSEHOLD? Q 11
B32SMKDT	phv00115028.v2.p2	HAVE SMOKE DETECTOR IN HOUSE? Q 12
B09P_SMK	phv00115079.v2.p2	SMOKE >= 10 CIG. A DAY FOR >= 1 MONTH. Q 12
C02SMOKE	phv00115317.v2.p2	SMOKES, DOESN'T REMEMBER, DOESN'T SMOKE. Q 1
C02DTSMK	phv00115319.v2.p2	DATE SUBJECT LAST SMOKED. Q 1
C02TMSMK	phv00115320.v2.p2	TIME SUBJECT LAST SMOKED. Q 1
C09UPC	phv00115544.v2.p2	CIGARETTES USED - UPC CODE
C09BRAND	phv00115545.v2.p2	CIGARETTE BRAND NAME
C09SMKNW	phv00115546.v2.p2	STILL SMOKE? Q 2.01
C09SMKYR	phv00115549.v2.p2	HOW MANY YRS SMOKED REGULARLY? Q 2.03
C09STS3M	phv00115550.v2.p2	STARTED SMOKING, PAST 3 MOS.? Q 2.04
C09SLS3M	phv00115551.v2.p2	BEGINNER, STILL SMOKES? Q Q 2.04a
C09CGTDY	phv00115552.v2.p2	CIGARETTES, # SMOKED/DAY. Q 2.05
C09BURN	phv00115557.v2.p2	HOW FAR DO YOU LET CIGARETTE BURN. Q 2.07
C09BURNW	phv00115558.v2.p2	PORTION OF CIGARETTE THAT IS UNSMOKED. Q 2.08
C09FSTCG	phv00115559.v2.p2	HOW SOON SMOKE AFTER WAKING. Q 2.09
C09CUTDN	phv00115563.v2.p2	QUIT ATTEMPT: REDUCED # OF CIGS SMOKED. Q 2.12
C09CIGAR	phv00115574.v2.p2	DO YOU STILL SMOKE CIGARS? Q 3.01
C09CGRWK	phv00115575.v2.p2	CIGARS, # SMOKED/WEEK. Q 3.02
C09PIPE	phv00115576.v2.p2	DO YOU STILL SMOKE A PIPE? Q 4.01
C09PIPWK	phv00115577.v2.p2	PIPEFULS, # SMOKED/WEEK
C09SNUFF	phv00115578.v2.p2	DO YOU STILL USE SMOKELESS TOB.? Q 5.01
C10TOBAC	phv00115581.v2.p2	HAS USED A TOBACCO PRODUCT. Q 1
C10CIGS	phv00115582.v2.p2	HAS SMOKED CIGARETTES. Q 2
C10CIGAR	phv00115583.v2.p2	HAS SMOKED CIGARS. Q 3
C10PIPE	phv00115584.v2.p2	HAS SMOKED A PIPE. Q 4
C10SMKLS	phv00115585.v2.p2	HAS USED SMOKELESS TOBACCO. Q 5
C10GUM	phv00115586.v2.p2	CURRENTLY USES NICOTINE GUM. Q 6
C10SPSMK	phv00115587.v2.p2	DOES SPOUSE CURRENTLY SMOKE CIGARETTES. Q 7
C10LVHME	phv00115588.v2.p2	# OF PERSONS YOU LIVE WITH WHO SMOKE CIG. Q 8
C10EXHME	phv00115589.v2.p2	HRS/WK EXPOSED TO SMOKE BY OTHERS IN HOM. Q 9
C10SMKPL	phv00115591.v2.p2	SMOKING POLICY AT YOUR WORKPLACE. Q 11
C10SMOKE	phv00115592.v2.p2	SMOKING STATUS
C42BSMOK	phv00116285.v2.p2	SMOKED SINCE LAST CUFF INFLATION?
D02SMOKE	phv00116540.v2.p2	SMOKES, DOESN'T REMEMBER, DOESN'T SMOKE. Q 1
D02DTSMK	phv00116542.v2.p2	DATE SUBJECT LAST SMOKED. Q 1
D02TMSMK	phv00116543.v2.p2	TIME SUBJECT LAST SMOKED. Q 1
D06MFF0100	phv00116827.v2.p2	FISH - FRESH AND SMOKED
D06MFL0100	phv00116828.v2.p2	LEAN FISH - FRESH AND SMOKED
D10TOBAC	phv00117135.v2.p2	HAS USED A TOBACCO PRODUCT. Q 1
D10CIGS	phv00117136.v2.p2	HAS SMOKED CIGARETTES. Q 2
D10CIGAR	phv00117137.v2.p2	HAS SMOKED CIGARS. Q 3
D10PIPE	phv00117138.v2.p2	HAS SMOKED A PIPE. Q 4
D10SMKLS	phv00117139.v2.p2	HAS USED SMOKELESS TOBACCO. Q 5
D10GUM	phv00117140.v2.p2	CURRENTLY USES NICOTINE GUM. Q 6
D10PATCH	phv00117141.v2.p2	NOW USING A NICOTINE PATCH? Q 7
D10SPSMK	phv00117142.v2.p2	DOES SPOUSE CURRENTLY SMOKE CIGARETTES. Q 8
D10LVHME	phv00117143.v2.p2	# OF PERSONS YOU LIVE WITH WHO SMOKE CIG. Q 9
D10EXHME	phv00117144.v2.p2	HRS/WK EXPOSED TO SMOKE BY OTHERS IN HOM. Q 10
D10SMKPL	phv00117146.v2.p2	SMOKING POLICY AT YOUR WORKPLACE. Q 12
D10SMOKE	phv00117147.v2.p2	SMOKING STATUS
D17JOINT	phv00117152.v2.p2	# OF MARIJUANA JOINTS SMOKED/DAY. Q 3
D09UPC	phv00117526.v2.p2	CIGARETTES USED - UPC CODE
D09BRAND	phv00117527.v2.p2	CIGARETTE BRAND NAME
D09SMKNW	phv00117528.v2.p2	STILL SMOKE? Q 1.01
D09STS3M	phv00117529.v2.p2	STARTED SMOKING, PAST 3 MOS.? Q 2.02
