SMOKE101	phv00098844.v1.p1	SMOKED IN LIFETIME
SMOKE201	phv00098845.v1.p1	SMOKED CIGARETTES LAST 30 DAYS
SMOKE08	phv00099155.v1.p1	EVER SMOKED MORE THAN 100 CIGARETTES
SMK3008	phv00099156.v1.p1	HAVE YOU SMOKED IN LAST 30 DAYS
SMKAGE08	phv00099157.v1.p1	HOW OLD WHEN YOU STARTED TO SMOKE
STOP08	phv00099158.v1.p1	HOW OLD WERE WHEN YOU STOPPED SMOKING  (99=UNKNOWN)
AMOUNT08	phv00099159.v1.p1	HOW MANY DID YOU SMOKE PER DAY ON AVER  (99=UNKNOWN)
ANYONE08	phv00099160.v1.p1	DOES ANYONE LIVING WITH YOU SMOKE
SMKHR11	phv00099334.v1.p1	SMOKE DURING THE PAST HOUR
SMOKE	phv00099445.v1.p1	SMOKING STATUS
PKYRS	phv00099446.v1.p1	PACK YEARS SMOKED
YRSQUIT	phv00099467.v1.p1	YRS SINCE QUIT SMOKE
SMKAMT	phv00099477.v1.p1	SMOKE AMOUNT
NIAC06	phv00099621.v1.p1	Niacin and nicotinic acid
ANYONE	phv00100340.v1.p1	PASSIVE SMOKING
AMOUNT	phv00100341.v1.p1	CIGS SMOKED/DAY
YRSQUIT	phv00100370.v1.p1	YRS SINCE QUIT SMOKE
PRESSM	phv00100371.v1.p1	PRESENT SMOKER
EVERSM	phv00100372.v1.p1	EVER SMOKED
SMKAMT	phv00100373.v1.p1	SMOKE AMOUNT
SMOKE	phv00100466.v1.p1	SMOKING STATUS
PKYRS	phv00100467.v1.p1	PACK YEARS SMOKED
NIAC06	phv00100560.v1.p1	Niacin and nicotinic acid
SMK3059	phv00101620.v1.p1	SMOKED CIGARETTES DURING LAST 30 DAYS
NUMCIG59	phv00101621.v1.p1	NUMBER CIGARETTES SMOKED PER DAY
SMOKE59	phv00101622.v1.p1	CURRENT SMOKING STATUS
PIPE59	phv00101650.v1.p1	SMOKED PIPE OR CIGAR IN PAST MONTH
NIAC06	phv00102138.v1.p1	Niacin and nicotinic acid
SMK3059	phv00102800.v1.p1	SMOKED CIGARETTES DURING LAST 30 DAYS
