MF70	phv00000542.v1.p11	HISTORY FORMS USED AS SOURCE FOR SMOKING AND DRINKING DATA (NUMBERED IN ORDER OF DECREASING PREFERENCE)
MF71	phv00000543.v1.p11	TOBACCO USED "NOW" OR "EVER"
MF72	phv00000544.v1.p11	DURATION OF TOBACCO USE (WHEN SMOKING "NOW")
MF73	phv00000545.v1.p11	PERIOD OF LAPSE IN TOBACCO USE (WHEN NOT SMOKING "NOW")
MF74	phv00000546.v1.p11	CIGARETTES SMOKED PER DAY
MF75	phv00000547.v1.p11	CIGARS SMOKED PER DAY
MF76	phv00000548.v1.p11	PIPES SMOKED PER DAY
MF77	phv00000549.v1.p11	OTHER TOBACCO USED
MF252	phv00000707.v1.p11	INTERIM HISTORY OF TOBACCO USAGE, EXAM 4
MF330	phv00000780.v1.p11	HISTORY OF SMOKING: PRESENT HABIT, EXAM 5
MF331	phv00000781.v1.p11	HISTORY OF SMOKING: NUMBER OF CIGARETTES/DAY SMOKED NOW, EXAM 5
MF332	phv00000782.v1.p11	HISTORY OF SMOKING: NUMBER OF PIPES/DAY SMOKED NOW, EXAM 5
MF333	phv00000783.v1.p11	HISTORY OF SMOKING: NUMBER OF CIGARS/DAY SMOKED NOW, EXAM 5
MF334	phv00000784.v1.p11	HISTORY OF SMOKING: CHANGE IN HABIT IN PAST TWO YEARS, EXAM 5
MF537	phv00000977.v1.p11	PRESENT HISTORY OF SMOKING: NUMBER OF CIGARETTES/DAY, EXAM 7
MF538	phv00000978.v1.p11	PRESENT HISTORY OF SMOKING: NUMBER OF CIGARS/DAY, EXAM 7
MF539	phv00000979.v1.p11	PRESENT HISTORY OF SMOKING: NUMBER OF PIPES/DAY, EXAM 7
MF540	phv00000980.v1.p11	PRESENT HISTORY OF SMOKING: USES CIGARETTE WITH FILTER, EXAM 7
MF541	phv00000981.v1.p11	PRESENT HISTORY OF SMOKING: INHALES CIGARETTES, EXAM 7
MF542	phv00000982.v1.p11	PRESENT HISTORY OF SMOKING: PORTION OF CIGARETTE SMOKED, EXAM 7
FA137	phv00001143.v1.p11	SMOKING HISTORY:  SMOKES CIGARETTES NOW (1 YEAR OR MORE DURING INTERIM)
FA138	phv00001144.v1.p11	SMOKING HISTORY:  USES FILTER
FA139	phv00001145.v1.p11	SMOKING HISTORY:  INHALES
FA140	phv00001146.v1.p11	SMOKING HISTORY:  PROPORTION OF CIGARETTE SMOKED
FA141	phv00001147.v1.p11	SMOKING HISTORY:  SMOKES CIGARS OR PIPES
FB83	phv00001255.v1.p11	INTERIM HISTORY OF SMOKING:  SMOKED AT LEAST ONE YEAR IN LAST TWO YEARS
FB84	phv00001256.v1.p11	INTERIM HISTORY OF SMOKING:  SMOKES CIGARS
FB85	phv00001257.v1.p11	INTERIM HISTORY OF SMOKING:  SMOKES PIPE
FB86	phv00001258.v1.p11	INTERIM HISTORY OF SMOKING:  SMOKES CIGARETTES
FB87	phv00001259.v1.p11	INTERIM HISTORY OF SMOKING: NUMBER CIGARETTES/DAY
FB88	phv00001260.v1.p11	INTERIM HISTORY OF SMOKING: PORTION OF CIGARETTE SMOKED
FB89	phv00001261.v1.p11	INTERIM HISTORY OF SMOKING:  USES FILTER
FB90	phv00001262.v1.p11	INTERIM HISTORY OF SMOKING:  INHALES
FC99	phv00001449.v1.p11	INTERIM HISTORY OF SMOKING: SMOKED AT LEAST ONE YEAR IN LAST TWO YEARS
FC100	phv00001450.v1.p11	INTERIM HISTORY OF SMOKING: SMOKES CIGARS
FC101	phv00001451.v1.p11	INTERIM HISTORY OF SMOKING: SMOKES PIPE
FC102	phv00001452.v1.p11	INTERIM HISTORY OF SMOKING: SMOKES CIGARETTES
FC103	phv00001453.v1.p11	INTERIM HISTORY OF SMOKING: NO. OF CIGARETTES PER DAY
FC104	phv00001454.v1.p11	INTERIM HISTORY OF SMOKING: PORTION OF CIGARETTE SMOKED
FC105	phv00001455.v1.p11	INTERIM HISTORY OF SMOKING: USES FILTER ON CIGARETTE
FC106	phv00001456.v1.p11	INTERIM HISTORY OF SMOKING: INHALES CIGARETTE
FD92	phv00001633.v1.p11	INTERIM HISTORY OF SMOKING:  SMOKED AT LEAST ONE YEAR IN LAST TWO YEARS
FD93	phv00001634.v1.p11	INTERIM HISTORY OF SMOKING: SMOKES CIGARS
FD94	phv00001635.v1.p11	INTERIM HISTORY OF SMOKING: SMOKES PIPE
FD95	phv00001636.v1.p11	INTERIM HISTORY OF SMOKING: SMOKES CIGARETTES
FD96	phv00001637.v1.p11	INTERIM HISTORY OF SMOKING: NUMBER OF CIGARETTES PER DAY
FD97	phv00001638.v1.p11	INTERIM HISTORY OF SMOKING: PORTION OF CIGARETTE SMOKED
FD98	phv00001639.v1.p11	INTERIM HISTORY OF SMOKING: USES FILTER ON CIGARETTE
FD99	phv00001640.v1.p11	INTERIM HISTORY OF SMOKING: INHALES CIGARETTE
FE106	phv00001836.v1.p11	INTERIM HISTORY OF SMOKING: EVER SMOKED
FE107	phv00001837.v1.p11	INTERIM HISTORY OF SMOKING: SMOKED AT LEAST ONE YR. IN LAST TWO YRS.
FE108	phv00001838.v1.p11	INTERIM HISTORY OF SMOKING: AMOUNT SMOKED: CIGARETTES/DAY
FE109	phv00001839.v1.p11	INTERIM HISTORY OF SMOKING: AMOUNT SMOKED: CIGARS/DAY
FE110	phv00001840.v1.p11	INTERIM HISTORY OF SMOKING: AMOUNT SMOKED: CIGARILLOS/DAY
FE111	phv00001841.v1.p11	INTERIM HISTORY OF SMOKING: AMOUNT SMOKED: PIPES/DAY
