SMOKE100	phv00277459.v1.p1	Smoked more than 100 cigarettes in life?
FSMK_YR	phv00277460.v1.p1	Year first started smoking
FSMK_AGE	phv00277461.v1.p1	Age at which first started smoking
CIGARETT	phv00277462.v1.p1	Smoke cigarettes now?
LSMK_YR	phv00277463.v1.p1	Year last quit smoking
LSMK_AGE	phv00277464.v1.p1	Age at which last quit smoking
AVGCIGDY	phv00277465.v1.p1	Average number of cigarettes per day
SMK2NDH	phv00277466.v1.p1	Hours per week exposed to others who smoke
SMOKE100	phv00277618.v1.p1	Have you smoked more than 100 cigarettes in your entire life?
FSMK_YR	phv00277619.v1.p1	In what year or how old were you when you first started smoking? - year
FSMK_AGE	phv00277620.v1.p1	In what year or how old were you when you first started smoking? - age
CIGARETT	phv00277621.v1.p1	Do you now smoke cigarettes?
LSMK_YR	phv00277622.v1.p1	In what year or how old were you when you last quit smoking? - year
LSMK_AGE	phv00277623.v1.p1	In what year or how old were you when you last quit smoking? - age
AVGCIGDY	phv00277624.v1.p1	On average how many cigarettes per day do/did you usually smoke?
SMK2NDH	phv00277625.v1.p1	On average how many hours per week are you in close contact with other people when they are smoking?
SMOKE100	phv00277919.v1.p1	Have you smoked more than 100 cigarettes in your entire life?
FSMK_YR	phv00277920.v1.p1	In what year or how old were you when you first started smoking? - year
FSMK_AGE	phv00277921.v1.p1	In what year or how old were you when you first started smoking? - age
CIGARETT	phv00277922.v1.p1	Do you now smoke cigarettes?
LSMK_YR	phv00277923.v1.p1	In what year or how old were you when you last quit smoking? - year
LSMK_AGE	phv00277924.v1.p1	In what year or how old were you when you last quit smoking? - age
AVGCIGDY	phv00277925.v1.p1	On average; how many cigarettes per day do/did you usually smoke?
SMK2NDH	phv00277926.v1.p1	How many hours per week are you exposed to second hand smoke?
SMOKE100	phv00307899.v1.p1	Have you smoked more than 100 cigarettes in your entire life?
FSMK_YR	phv00307900.v1.p1	In what year or how old were you when you first started smoking? - year
FSMK_AGE	phv00307901.v1.p1	In what year or how old were you when you first started smoking? - age
CIGARETT	phv00307902.v1.p1	Do you now smoke cigarettes?
LSMK_YR	phv00307903.v1.p1	In what year or how old were you when you last quit smoking? - year
LSMK_AGE	phv00307904.v1.p1	In what year or how old were you when you last quit smoking? - age
AVGCIGDY	phv00307905.v1.p1	On average how many cigarettes per day do/did you usually smoke?
SMK2NDH	phv00307906.v1.p1	On average how many hours per week are you in close contact with other people when they are smoking?
SMOKE100	phv00308112.v1.p1	Have you smoked more than 100 cigarettes in your entire life?
FSMK_YR	phv00308113.v1.p1	In what year or how old were you when you first started smoking? - year
FSMK_AGE	phv00308114.v1.p1	In what year or how old were you when you first started smoking? - age
CIGARETT	phv00308115.v1.p1	Do you now smoke cigarettes?
LSMK_YR	phv00308116.v1.p1	In what year or how old were you when you last quit smoking? - year
LSMK_AGE	phv00308117.v1.p1	In what year or how old were you when you last quit smoking? - age
AVGCIGDY	phv00308118.v1.p1	On average; how many cigarettes per day do/did you usually smoke?
SMK2NDH	phv00308119.v1.p1	How many hours per week are you exposed to second hand smoke?
