sbpa2	phv00128358.v2.p2	Q2. B. Tobacco and caffeine use. Have you smoked or used chewing tobacco, nicotine gum or snuff today or do you wear a nicotine patch? [Visit 1] [Sitting Blood Pressure Form, SBP]
SBPA3A	phv00128359.v2.p2	Q3a. B. Tobacco and caffeine use. How long did you last smoke or last use chewing tobacco or snuff? (Hours) [Visit 1] [Sitting Blood Pressure Form, SBP]
SBPA3B	phv00128360.v2.p2	Q3b. B. Tobacco and caffeine use. How long did you last smoke or last use chewing tobacco or snuff? (Minutes) [Visit 1] [Sitting Blood Pressure Form, SBP]
sbpa4	phv00128361.v2.p2	Q4. B. Tobacco and caffeine use. Have you had any caffeinated beverages, such as coffee, tea, or colas, or any chocolate today? [Visit 1] [Sitting Blood Pressure Form, SBP]
sbpa5	phv00128378.v2.p2	Q5. B. Tobacco and caffeine use. How long ago did you last have any caffeinated beverage or chocolate? (HH.MM) [Visit 1] [Sitting Blood Pressure Form, SBP]
SUBJECT_ID	phv00128494.v2.p2	Subject identifier [Visit 1] [Health Practices: Tobacco Use, TOB]
VISIT	phv00128495.v2.p2	CONTACT OCCASION [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA1	phv00128496.v2.p2	Q1. Smoked at least 400 cigarettes in your lifetime [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA2	phv00128497.v2.p2	Q2. Age when first started to smoke cigarettes regularly [that is every day] [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA3	phv00128498.v2.p2	Q3. Do you now smoke cigarettes [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA4A	phv00128499.v2.p2	Q4a. How long has it since you last smoked (months) [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA4B	phv00128500.v2.p2	Q4b. How long has it since you last smoked (years) [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA5	phv00128501.v2.p2	Q5. How many cigarettes do you smoke per day [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA6	phv00128502.v2.p2	Q6. Do you smoke more frequently during the first few hours after awakening than during the rest of the day? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA7	phv00128503.v2.p2	Q7. How soon after you wake up do you smoke your first cigarette? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA8	phv00128504.v2.p2	Q8. Of all the cigarettes you smoke during the day, which one cigarette would you hate to give up most? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA9	phv00128505.v2.p2	Q9. Do you find it difficult to refrain from smoking in places where it is forbidden, for example in church, the library, cinema, etc.? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA10	phv00128506.v2.p2	Q10. Do you smoke if you are so ill that you are in bed most of the day? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA11	phv00128507.v2.p2	Q11. On the average for the entire time you have smoked, how many cigarettes did you smoke usually per day? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA12	phv00128508.v2.p2	Q12. Since you began smoking for how many years were you off cigarettes? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA13	phv00128509.v2.p2	Q13. How deeply do you inhale the cigarette smoke- not at all, slightly, moderately, or deeply? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA14	phv00128510.v2.p2	Q14. Have you ever used any other tobacco products regularly, that is cigar or cigarillos, pipes, chewing tobacco, or snuff/dip? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA15	phv00128511.v2.p2	Q15. What is the number of years you have smoked cigars or cigarillos regularly? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA16	phv00128512.v2.p2	Q16. Over the course of the entire time you smoked cigars or cigarillos, how many cigars or cigarillos per week have you typically smoked? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA17	phv00128513.v2.p2	Q17. Do you currently smoke cigars or cigarillos? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA18	phv00128514.v2.p2	Q18. What is the total number of years smoked a pipe regularly? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA19	phv00128515.v2.p2	Q19. Over the course of the entire time you have smoked a pipe, how many pipefuls per week have you typically smoked?  [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA20	phv00128516.v2.p2	Q20. Do you currently smoke a pipe? [Visit 1] [Health Practices: Tobacco Use, TOB]
TOBA21	phv00128517.v2.p2	Q21. What is the total number of years you have used chewing tobacco such as Redman, Beechnut or Levi Garret, regularly? [Visit 1] [Health Practices: Tobacco Use, TOB]
