niac1c	phv00083128.v1.p3	NIACIN AND NICOTINIC ACID
cig1c	phv00083241.v1.p3	CIGARETTE SMOKING STATUS
pkyrs1c	phv00083242.v1.p3	PACK-YEARS OF CIGARETTE SMOKING
evsmk1	phv00083243.v1.p3	SMOKED AT LEAST 100 CIGARETTES IN LIFETIME
agesmk1	phv00083244.v1.p3	CIGARETTES:  AGE STARTED SMOKING
cursmk1	phv00083245.v1.p3	CIGARETTES: SMOKED IN LAST 30 DAYS
agequit1	phv00083246.v1.p3	CIGARETTES: AGE QUIT SMOKING
cigsday1	phv00083247.v1.p3	CIGARETTES: AVERAGE # SMOKED PER DAY
othtob1	phv00083248.v1.p3	EVER USED OTHER TOBACCO PRODUCTS
cigar1	phv00083249.v1.p3	SMOKED MORE THAN 20 CIGARS IN LIFETIME
cgr1c	phv00083250.v1.p3	CIGAR SMOKING STATUS
cgrage1	phv00083251.v1.p3	CIGARS: AGE STARTED SMOKING
cgrcur1	phv00083252.v1.p3	CIGARS: SMOKED IN LAST 30 DAYS
cgrageq1	phv00083253.v1.p3	CIGARS: AGE QUIT SMOKING
cgrday1	phv00083254.v1.p3	CIGARS: AVERAGE # SMOKED PER DAY
pip1c	phv00083255.v1.p3	PIPE SMOKING STATUS
pipyrs1c	phv00083256.v1.p3	PIPE SMOKING AMOUNT (PIPEFULS PER DAY * YEARS)
pipe1	phv00083257.v1.p3	SMOKED AT LEAST 20 PIPEFULS OF TOBACCO IN LIFETIME
pipage1	phv00083258.v1.p3	PIPE: AGE STARTED SMOKING
pipcur1	phv00083259.v1.p3	PIPE: SMOKED IN LAST 30 DAYS
pipageq1	phv00083260.v1.p3	PIPE: AGE QUIT SMOKING
pipday1	phv00083261.v1.p3	PIPE: AVERAGE # SMOKED PER DAY
chew1c	phv00083262.v1.p3	CHEWING TOBACCO USE
chwyrs1c	phv00083263.v1.p3	CHEWING TOBACCO AMOUNT (# TIMES CHEWED PER DAY * YEARS)
chew1	phv00083264.v1.p3	CHEWED TOBACCO AT LEAST 20 TIMES IN LIFETIME
chwage1	phv00083265.v1.p3	CHEWING TOBACCO: AGE STARTED USE
chwcur1	phv00083266.v1.p3	CHEWING TOBACCO: USED IN LAST 30 DAYS
chwageq1	phv00083267.v1.p3	CHEWING TOBACCO: AGE QUIT USE
chwday1	phv00083268.v1.p3	CHEWING TOBACCO: AVERAGE # USES PER DAY
shndsmk1	phv00083276.v1.p3	EXPOSURE TO SECOND-HAND SMOKE, HOURS PER WEEK
lsmoksa4	phv00083473.v1.p3	SMOKING STATUS
spsmka4	phv00083496.v1.p3	SMOKE IN PAST 2 HRS
qsmkcha4	phv00083550.v1.p3	LIVE WITH A SMOKER AS A CHILD
qsmkcna4	phv00083551.v1.p3	NUMBER OF SMOKERS IN HOME AS A CHILD
qsmkada4	phv00083552.v1.p3	LIVE WITH A SMOKER AS AN ADULT
qsmkana4	phv00083553.v1.p3	HOW MANY YEARS WITH ADULT SMOKER
qsmkwa4	phv00083554.v1.p3	WORK WITH SMOKERS
qsmkwya4	phv00083555.v1.p3	YEARS WORKING WITH SMOKERS
qsmkdya4	phv00083578.v1.p3	CIGARETTES PER DAY
qsmkhra4	phv00083579.v1.p3	HOURS BEFORE 1ST CIGARETTE
qsmkina4	phv00083580.v1.p3	INHALE CIGARETTE SMOKE
qsmkmna4	phv00083581.v1.p3	MINUTES BEFORE 1ST CIGARETTE
qsmokea4	phv00083582.v1.p3	SMOKE CIGARETTES
smkcha4	phv00083587.v1.p3	SMOKE - CHILDREN
smksba4	phv00083591.v1.p3	SMOKE - SIBLING
smkspa4	phv00083595.v1.p3	SMOKE - SPOUSE
smkfaa4	phv00083599.v1.p3	SMOKE - FATHER
smkmoa4	phv00083603.v1.p3	SMOKE - MOTHER
cig1ca4	phv00083613.v1.p3	CIGARETTE SMOKING STATUS
lpya4	phv00083614.v2.p3	PACK-YEARS OF CIGARETTE SMOKING IN SPIROMETRY EXAM
cgrs1a4	phv00083615.v1.p3	RECODED CIGAR SMK STAT OF EXAM 1
cgry1a4	phv00083616.v1.p3	CIGAR-YEARS OF EXAM 1
lcgrya4	phv00083617.v1.p3	CIGAR-YEARS OF SPIROMETRY EXAM
lsmoksa4	phv00083708.v2.p3	SMOKING STATUS
spsmka4	phv00083731.v2.p3	SMOKE IN PAST 2 HRS
qsmkcha4	phv00083785.v2.p3	LIVE WITH A SMOKER AS A CHILD
qsmkcna4	phv00083786.v2.p3	NUMBER OF SMOKERS IN HOME AS A CHILD
qsmkada4	phv00083787.v2.p3	LIVE WITH A SMOKER AS AN ADULT
qsmkana4	phv00083788.v2.p3	HOW MANY YEARS WITH ADULT SMOKER
qsmkwa4	phv00083789.v2.p3	WORK WITH SMOKERS
qsmkwya4	phv00083790.v2.p3	YEARS WORKING WITH SMOKERS
smkcha4	phv00083817.v2.p3	SMOKE - CHILDREN
smksba4	phv00083821.v2.p3	SMOKE - SIBLING
smkspa4	phv00083825.v2.p3	SMOKE - SPOUSE
smkfaa4	phv00083829.v2.p3	SMOKE - FATHER
smkmoa4	phv00083833.v2.p3	SMOKE - MOTHER
cig1ca4	phv00083843.v2.p3	CIGARETTE SMOKING STATUS
lpya4	phv00083844.v2.p3	PACK-YEARS OF CIGARETTE SMOKING IN SPIROMETRY EXAM
cgrs1a4	phv00083845.v2.p3	RECODED CIGAR SMK STAT OF EXAM 1
cgry1a4	phv00083846.v2.p3	CIGAR-YEARS OF EXAM 1
lcgrya4	phv00083847.v2.p3	CIGAR-YEARS OF SPIROMETRY EXAM
niac1c	phv00085373.v2.p3	NIACIN AND NICOTINIC ACID
pkyrs1c	phv00085544.v3.p3	PACK-YEARS OF CIGARETTE SMOKING
cig1c	phv00085545.v2.p3	CIGARETTE SMOKING STATUS
evsmk1	phv00085570.v2.p3	SMOKED AT LEAST 100 CIGARETTES IN LIFETIME
agesmk1	phv00085571.v2.p3	CIGARETTES: AGE STARTED SMOKING
